Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,50.84,Eijsden grens,561.1,1/100,t.o.v. NAP
,48.08,Sint Pieter noord,8805.2,1/100,t.o.v. NAP
,46.03,Borgharen Julianakanaal,12740.5,1/100,t.o.v. NAP
,44.95,Borgharen Dorp,13967.8,1/100,t.o.v. NAP
,44.26,Lanaken,16309.7,1/100,t.o.v. NAP
,42.21,Uikhoven,22780.7,1/100,t.o.v. NAP
,40.39,Elsloo,27347.2,1/100,t.o.v. NAP
,37.6,Eisden Mazenhove,32756.1,1/100,t.o.v. NAP
,33.69,Meeswijk veer,36949.9,1/100,t.o.v. NAP
,32.55,Negenoord-Oost,40483.0,1/100,t.o.v. NAP
,32.19,Rotem Maas,42969.1,1/100,t.o.v. NAP
,30.02,Maaseik,50804.8,1/100,t.o.v. NAP
,25.45,Stevensweert,59675.3,1/100,t.o.v. NAP
,22.92,Heel boven,67711.7,1/100,t.o.v. NAP
,22.0,Linne beneden,69714.7,1/100,t.o.v. NAP
,21.07,Roermond boven,78909.0,1/100,t.o.v. NAP
,20.75,Buggenum,82689.4,1/100,t.o.v. NAP
,20.65,Neer,86393.6,1/100,t.o.v. NAP
,19.33,Belfeld boven,96970.5,1/100,t.o.v. NAP
,19.14,Belfeld beneden,98910.3,1/100,t.o.v. NAP
,18.45,Venlo,103699.2,1/100,t.o.v. NAP
,15.52,Well Dorp,128130.7,1/100,t.o.v. NAP
,14.04,Sambeek boven,140921.3,1/100,t.o.v. NAP
,13.8,Sambeek beneden,143632.8,1/100,t.o.v. NAP
,13.13,Gennep,149547.2,1/100,t.o.v. NAP
,11.8,Mook,160239.1,1/100,t.o.v. NAP
