Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,1.76,Eijsden grens,561.1,1/10,t.o.v. Jaarlijks
,1.51,Sint Pieter noord,8805.2,1/10,t.o.v. Jaarlijks
,1.11,Borgharen Julianakanaal,12740.5,1/10,t.o.v. Jaarlijks
,1.6099999999999999,Borgharen Dorp,13967.8,1/10,t.o.v. Jaarlijks
,1.6600000000000001,Lanaken,16309.7,1/10,t.o.v. Jaarlijks
,1.5,Uikhoven,22780.7,1/10,t.o.v. Jaarlijks
,1.49,Elsloo,27347.2,1/10,t.o.v. Jaarlijks
,1.72,Eisden Mazenhove,32756.1,1/10,t.o.v. Jaarlijks
,0.98,Meeswijk veer,36949.9,1/10,t.o.v. Jaarlijks
,1.43,Negenoord-Oost,40483.0,1/10,t.o.v. Jaarlijks
,1.74,Rotem Maas,42969.1,1/10,t.o.v. Jaarlijks
,1.99,Maaseik,50804.8,1/10,t.o.v. Jaarlijks
,1.12,Stevensweert,59675.3,1/10,t.o.v. Jaarlijks
,1.32,Heel boven,67711.7,1/10,t.o.v. Jaarlijks
,1.26,Linne beneden,69714.7,1/10,t.o.v. Jaarlijks
,1.78,Roermond boven,78909.0,1/10,t.o.v. Jaarlijks
,2.34,Buggenum,82689.4,1/10,t.o.v. Jaarlijks
,2.36,Neer,86393.6,1/10,t.o.v. Jaarlijks
,2.14,Belfeld boven,96970.5,1/10,t.o.v. Jaarlijks
,2.22,Belfeld beneden,98910.3,1/10,t.o.v. Jaarlijks
,2.02,Venlo,103699.2,1/10,t.o.v. Jaarlijks
,1.44,Well Dorp,128130.7,1/10,t.o.v. Jaarlijks
,1.27,Sambeek boven,140921.3,1/10,t.o.v. Jaarlijks
,1.8599999999999999,Sambeek beneden,143632.8,1/10,t.o.v. Jaarlijks
,1.97,Gennep,149547.2,1/10,t.o.v. Jaarlijks
,1.82,Mook,160239.1,1/10,t.o.v. Jaarlijks
